Nload,Soil moisture,Grain unit,NSWRM cost,linE,hedge_share_con,buffer_share_con,grassslope_share_con,notill_share_con,lu_share,hedge_moran,buffer_moran,grassslope_moran,notill_moran,buffer_channel_frac,grassslope_channel_frac,notill_channel_frac
-5390.104,13.3682,18467.46,-147655.1512,0,0,0.02210406,0,0,1,1,0.993266239,0,0.005712662,1,0,0
-5406.604,13.4552,18558.152,-306795.5126,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5410.704,13.3974,18521.266,-178327.5912,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5451.904,13.3092,18502.299,-35857.97165,0,0,0.02210406,0,0,1,1,0.993266239,0,0.005712662,1,0,0
-5407.604,13.4616,18551.729,-312795.6634,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5513.304,13.3142,18609.685,-23861.23676,0,0,0,0,0.215212801,0,1,0.992162991,0,0.387391252,0,0,1
-5410.204,13.4322,18565.023,-247414.1634,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5480.604,13.4492,18478.13,-266588.1522,0,0,0,0,0.876754006,0,1,0.992162991,0,1,0,0,2.90E-05
-5408.704,13.4092,18603.684,-179362.6581,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5407.604,13.4634,18555.21,-318343.8763,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5510.104,13.372,18604.37,-92599.2306,0.037757437,0,0.144311556,0,0.148814444,0.032591514,1,0.813652194,0,0.173261935,0.015344037,0,0.000539521
-5484.304,13.3384,18603.12,-53993.3238,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5508.104,13.3706,18679.91,-133946.576,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5390.004,13.369,18453.944,-148099.9968,0,0,0,0,0.000943682,0,1,0.992162991,0,0,0,0,0
-5467.704,13.2702,18336.33,-21691.70203,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5405.204,13.4602,18545.751,-306202.4277,0,0,0.524220957,0,0,1,1,0.469287601,0,0.005712662,0.012497599,0,0
-5512.004,13.3666,18630.112,-86126.58144,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5408.904,13.374,18566.47,-144940.713,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5484.204,13.332,18609.542,-47993.17308,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5389.704,13.3736,18461.918,-161980.7784,0,0,0.02210406,0,0,1,1,0.993266239,0,0.005712662,1,0,0
-5489.104,13.3792,18512.031,-116646.7921,0,0,0.02210406,0,0,1,1,0.993266239,0,0.005712662,1,0,0
-5506.304,13.3168,18585.462,-24486.47566,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5509.504,13.377,18614.02,-105723.7018,0.037757437,0,0.144311556,0,0.148814444,0.032591514,1,0.813652194,0,0.173261935,0.015344037,0,0.000539521
-5388.104,13.3842,18477.909,-165302.5777,0,0,0.02210406,0,0,1,1,0.993266239,0,0.005712662,1,0,0
-5409.204,13.4128,18527.884,-184354.7351,0,0,0.524220957,0,0,1,1,0.469287601,0,0.005712662,0.012497599,0,0
-5485.304,13.34,18606.51,-59541.53678,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5408.104,13.3444,18591.275,-97918.45693,0,0,0.524220957,0,0,1,1,0.469287601,0,0.005712662,0.012497599,0,0
-5465.704,13.3874,18518.098,-136210.6001,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5510.804,13.3044,18612.664,-6802.991225,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5382.704,13.3842,18477.909,-166967.9497,0.049199085,0,0.374140011,0,0.148814444,0.080326927,1,0.815500032,0,0.173261935,0.015081826,0,0.000539521
-5507.904,13.3826,18595.755,-106150.5925,0.037757437,0,0.144311556,0,0.148814444,0.032591514,1,0.813652194,0,0.173261935,0.015344037,0,0.000539521
-5390.604,13.4354,18448.95,-229812.4047,0,0,0.02210406,0,0,1,1,0.993266239,0,0.005712662,1,0,0
-5464.504,13.366,18620.639,-128060.0471,0,0,0,0,0.314233602,0,1,0.992162991,0,0.359830506,0,0,0.001483333
-5384.804,13.3682,18397.681,-159130.0491,0.001207729,0,0.02210406,0,0.407349115,0.001881594,1,0.993266239,0,0.401775008,1,0,0.000123749
-5380.404,13.4556,18385.721,-331896.3033,0.049199085,0,0.374140011,0,0.148814444,0.080326927,1,0.815500032,0,0.173261935,0.015081826,0,0.000539521
-5485.004,13.3404,18609.062,-60316.03578,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5507.704,13.3782,18604.604,-105660.4903,0.037757437,0,0.144311556,0,0.148814444,0.032591514,1,0.813652194,0,0.173261935,0.015344037,0,0.000539521
-5459.804,13.3878,18518.485,-141892.2091,0,0,0,0,0.407349115,0,1,0.992162991,0,0.401775008,0,0,0.000123749
-5514.604,13.3896,18608.806,-120867.8272,0.022418478,0,0.144311556,0,0.336111597,0.014696911,1,0.813652194,0,0.458927963,0.015344037,0,0.000238874
-5491.804,13.3162,18578.051,-25956.23241,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5380.804,13.4014,18236.165,-230255.1455,0.016116942,0,0.374140011,0,0.548188722,0.023161435,1,0.815500032,0,0.541037122,0.015081826,0,9.20E-05
-5441.904,13.3498,18606.478,-95310.76201,0,0,0,0,0.314233602,0,1,0.992162991,0,0.359830506,0,0,0.001483333
-5463.004,13.3908,18576.72,-149019.2573,0,0,0,0,0.314233602,0,1,0.992162991,0,0.359830506,0,0,0.001483333
-5375.604,13.3932,18293.133,-214884.0157,0.052631579,0,0.524220957,0,0.148814444,0.109035587,1,0.469287601,0,0.173261935,0.012497599,0,0.000539521
-5485.104,13.3464,18604.646,-64402.12877,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5408.904,13.4576,18494.509,-306138.2984,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5464.304,13.3878,18518.485,-140417.0369,0,0,0,0,0.258534671,0,1,0.992162991,0,0.30974389,0,0,7.94E-05
-5373.004,13.4406,18330.961,-327966.4497,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5381.504,13.4624,18379.248,-337896.4541,0.049199085,0,0.374140011,0,0.148814444,0.080326927,1,0.815500032,0,0.173261935,0.015081826,0,0.000539521
-5372.704,13.3008,17875.154,-131418.6909,0,0,0,0,0.49516716,0,1,0.992162991,0,0.489342634,0,0,0.000101802
-5379.704,13.4038,18354.272,-246121.2135,0,0,0,0,0.156485488,0,1,0.992162991,0,0.189978948,0,0,0.000513073
-5390.404,13.36,18449.837,-114005.4909,0.049199085,0,0.374140011,0,0.148814444,0.080326927,1,0.815500032,0,0.173261935,0.015081826,0,0.000539521
-5383.504,13.371,18286.696,-160363.2013,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5464.604,13.3782,18542.175,-110408.3632,0,0,0,0,0.321904646,0,1,0.992162991,0,0.371315436,0,0,0.001447985
-5372.704,13.302,17877.209,-133275.3864,0,0,0,0,0.49516716,0,1,0.992162991,0,0.489342634,0,0,0.000101802
-5523.604,13.3076,18613.211,-13922.81918,0.063405797,0,0,1,0.055698932,0.941555396,1,0.992162991,1,0.336478125,0,1,0.013628013
-5463.004,13.392,18578.773,-150875.9528,0,0,0,0,0.314233602,0,1,0.992162991,0,0.359830506,0,0,0.001483333
-5394.604,13.383,18334.85,-163431.0619,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5356.004,13.2112,17147.331,-158364.7168,0.016116942,0,0.374140011,0,0.548188722,0.023161435,1,0.815500032,0,0.541037122,0.015081826,0,9.20E-05
-5505.004,13.321,18587.496,-30275.77559,0.052631579,0,0.524220957,0,0.148814444,0.109035587,1,0.469287601,0,0.173261935,0.012497599,0,0.000539521
-5408.904,13.4644,18488.037,-312138.4491,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5393.604,13.3764,18341.274,-157430.9112,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5446.004,13.3946,18614.257,-168819.0564,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5382.004,13.376,18153.74,-179679.1991,0.016116942,0,0.374140011,0,0.548188722,0.023161435,1,0.815500032,0,0.541037122,0.015081826,0,9.20E-05
-5504.204,13.3978,18617.49,-136189.1535,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5411.404,13.4708,18470.945,-312338.5006,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5409.204,13.4672,18515.401,-312037.4829,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
